Community Area,Community Area Name,Per Capita Income,Birth Rate per (1k),General Fertility Rate per (1k),% Low Birth Weight,% Prenatal Care in First Trimester,% Preterm Births,Teen Birth Rate per (1k),Homicides per (100k),Breast Cancer Females per (100k),Cancer (All Sites) per (100k),Colorectal Cancer per (100k),Diabetes-related per (100k),Firearm-related per (100k),Infant Mortality Rate per (1k),Lung Cancer per (100k),Prostate Cancer in Males per (100k),Stroke (Cerebrovascular Disease) per (100k),Childhood Blood Lead Level Screening per (1k),Childhood Lead Poisoning per (100),Gonorrhea in Females per (100k),Gonorrhea in Males per (100k),Tuberculosis per (100k),% Below Poverty Level,% Crowded Housing,% Dependency,% No High School Diploma,Unemployment
1,Rogers Park,23714,16.4,62.0,11.0,73.0,11.2,40.8,7.7,23.3,176.9,25.3,77.1,5.2,6.4,36.7,21.7,33.7,364.7,0.5,322.5,423.3,11.4,22.7,7.9,28.8,18.1,7.5
2,West Ridge,21375,17.3,83.3,8.1,71.1,8.3,29.9,5.8,20.2,155.9,17.3,60.5,3.7,5.1,36.0,14.2,34.7,331.4,1.0,141.0,205.7,8.9,15.1,7.0,38.3,19.6,7.9
3,Uptown,32355,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80.0,4.6,6.5,50.5,25.2,41.7,353.7,0.5,170.8,468.7,13.6,22.7,4.6,22.2,13.6,7.7
4,Lincoln Square,35503,17.1,61.0,8.1,80.5,9.7,38.4,5.0,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,195.5,8.5,9.5,3.1,25.6,12.5,6.8
5,North Center,51615,22.4,76.2,9.1,80.4,9.8,8.4,1.0,16.6,152.1,26.1,49.8,1.0,2.7,42.4,15.1,41.6,178.1,0.9,85.4,188.6,1.9,7.1,0.2,25.5,5.4,4.5
6,Lake View,58227,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13.0,38.5,1.8,2.2,32.5,17.0,24.4,179.2,0.4,81.8,357.6,3.2,10.5,1.2,16.5,2.9,4.7
7,Lincoln Park,71403,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40.0,27.3,35.3,173.3,0.6,50.3,93.1,1.2,11.8,0.6,20.4,4.3,4.5
8,Near North Side,87163,10.7,35.9,8.6,69.7,9.6,34.0,3.7,24.0,142.7,15.1,27.0,3.2,6.5,33.6,15.1,22.0,311.2,0.1,244.4,235.8,5.5,13.4,2.0,23.3,3.4,5.2
9,Edison Park,38337,11.3,59.5,7.9,86.6,12.6,3.9,0.0,13.8,189.7,15.1,53.0,7.1,4.6,45.2,28.0,38.9,134.7,0.0,,.,1.8,5.1,0.6,36.6,8.5,7.4
10,Norwood Park,31659,10.4,59.6,4.9,89.4,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2,163.1,0.0,,.,1.6,5.9,2.3,40.6,13.5,7.3
11,Jefferson Park,27280,13.8,67.8,6.6,82.9,7.7,28.6,4.8,18.4,208.2,23.2,49.2,4.2,8.3,55.7,32.1,41.9,236.8,0.2,,.,7.1,6.4,1.9,34.4,13.5,9.0
12,Forest Glen,41509,10.0,60.6,7.6,79.3,10.3,6.3,3.3,25.0,138.7,14.3,37.2,6.2,3.8,27.0,20.3,31.0,160.8,0.0,,.,2.2,6.1,1.3,40.6,6.3,5.5
13,North Park,24941,10.9,54.2,9.7,79.1,10.2,10.5,3.0,20.4,143.7,21.9,58.9,3.1,5.4,34.7,14.6,26.7,317.3,0.4,,.,8.9,12.4,3.8,39.7,18.2,7.5
14,Albany Park,20355,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,101.8,16.8,17.1,11.2,32.1,34.9,9.0
15,Portage Park,23617,14.2,66.1,6.9,79.8,8.7,41.7,3.3,23.3,168.7,15.9,48.2,4.7,4.7,44.9,14.8,37.9,287.3,0.5,87.7,84.9,4.0,12.3,4.4,34.6,18.7,10.6
16,Irving Park,26713,15.8,67.1,7.7,79.9,10.2,37.0,4.1,29.9,169.4,19.2,60.2,5.7,5.3,41.3,17.9,42.0,333.5,0.6,159.6,74.5,9.3,10.8,5.6,31.6,22.0,10.3
17,Dunning,26347,12.5,64.7,6.8,82.7,9.9,19.9,3.7,23.7,191.5,25.9,42.5,5.2,4.9,53.9,24.4,32.0,233.9,0.1,,70.1,2.4,8.3,4.8,34.9,18.0,8.6
18,Montclaire,21257,17.1,83.5,8.3,77.6,8.8,61.5,8.6,29.9,151.0,15.4,89.6,6.5,4.6,33.4,21.9,40.3,315.5,0.9,,.,3.0,12.8,5.8,35.0,28.4,10.8
19,Belmont Cragin,15246,20.0,88.6,6.9,74.1,7.6,68.2,7.0,14.4,152.6,17.7,58.6,5.5,5.6,37.8,27.3,38.2,421.5,0.8,95.9,140.9,9.4,18.6,10.0,36.9,37.0,11.5
20,Hermosa,15411,20.3,86.7,6.7,77.5,8.8,69.7,12.7,18.4,135.2,15.6,63.6,11.8,9.3,27.7,25.6,27.6,394.7,0.7,154.5,114.3,15.8,19.1,8.4,36.3,41.9,12.9
21,Avondale,20489,18.5,77.7,7.3,74.4,7.5,63.4,4.7,16.6,133.9,13.4,52.7,4.6,5.7,32.5,37.7,36.0,373.3,0.7,85.3,92.2,10.1,14.6,5.8,30.4,25.7,9.3
22,Logan Square,29026,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209.0,159.3,8.4,17.2,3.2,26.7,18.5,7.5
23,Humboldt Park,13391,19.2,80.7,12.3,70.9,11.7,77.9,29.0,26.3,211.1,26.6,94.1,22.7,9.8,48.0,52.5,53.5,447.7,1.3,1234.7,937.5,9.7,32.6,11.2,38.3,36.8,12.3
24,West Town,39596,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107.0,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,182.8,3.6,15.7,2.0,22.9,13.4,6.0
25,Austin,15920,18.0,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,492.3,2.0,1741.1,1678.9,5.8,27.0,5.7,39.0,25.0,21.0
26,West Garfield Park,10951,20.1,88.4,17.0,71.4,17.5,114.9,40.0,54.7,291.5,31.4,118.2,36.0,19.0,65.3,75.0,77.0,516.1,1.4,3193.3,2336.7,6.5,40.3,8.9,42.5,26.2,25.2
27,East Garfield Park,13596,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11.0,56.3,78.1,47.5,503.7,0.9,2325.1,1730.2,13.6,39.7,7.5,43.2,26.2,16.4
28,Near West Side,41488,18.2,55.6,9.0,77.6,10.5,36.7,12.7,33.4,202.0,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,466.5,14.1,21.6,3.8,22.9,11.2,10.7
29,North Lawndale,12548,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54.0,70.2,565.7,1.4,2529.9,2236.3,9.3,38.6,7.2,40.9,30.4,18.5
30,South Lawndale,10697,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65.0,8.6,5.9,15.9,32.7,37.3,605.9,0.8,289.5,106.8,7.9,28.1,17.6,33.1,58.7,11.5
31,Lower West Side,15467,16.5,68.2,4.5,80.8,8.8,49.0,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2,589.0,0.8,92.3,78.7,11.4,27.2,10.4,35.2,44.3,13.0
32,Loop,67699,9.4,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4.0,5.7,29.2,17.2,39.0,297.3,0.3,129.9,200.5,6.5,11.1,2.0,15.5,3.4,4.2
33,Near South Side,60593,21.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169.0,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0.2,300.6,318.7,5.0,11.1,1.4,21.0,7.1,5.7
34,Armour Square,16942,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,490.3,0.2,222.6,218,22.7,35.8,5.9,37.9,37.5,11.6
35,Douglas,23098,10.3,42.2,11.7,76.0,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0.0,1063.3,727.4,4.2,26.1,1.6,31.0,16.9,16.7
36,Oakland,19312,17.5,63.9,13.5,75.0,11.5,54.5,18.9,20.6,159.7,14.5,88.7,12.6,8.2,54.5,54.2,43.7,435.4,0.3,1655.4,1629.3,6.7,38.1,3.5,40.5,17.6,26.6
37,Fuller Park,9016,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,489.9,2.5,1061.9,1556.4,0.0,55.5,4.5,38.2,33.7,40.0
38,Grand Boulevard,22056,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39.0,46.7,590.4,1.0,1454.6,1680,13.2,28.3,2.7,41.7,19.4,20.6
39,Kenwood,37519,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,397.9,0.4,610.2,549.1,0.0,23.1,2.3,34.2,10.8,11.0
40,Washington Park,13087,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26.0,258.0,31.9,88.2,39.5,19.3,79.8,67.0,43.3,502.4,0.4,2145.8,2058,5.0,39.1,4.9,40.9,28.3,23.2
41,Hyde Park,39243,9.7,33.9,5.9,80.3,5.5,7.6,5.8,33.6,144.0,11.7,34.0,5.0,10.4,34.9,24.1,26.0,369.0,0.0,216.6,168.4,5.3,18.2,2.5,26.7,5.3,6.9
42,Woodlawn,18928,15.1,60.1,17.4,73.3,16.3,51.1,31.1,32.9,241.3,23.9,82.1,25.0,11.5,69.8,58.0,60.0,444.3,1.6,1382.0,1818.6,17.4,28.3,1.8,37.6,17.9,17.3
43,South Shore,18366,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246.0,25.1,95.4,30.0,11.4,70.0,54.8,53.2,470.3,1.1,1718.6,1357.1,11.7,31.5,2.9,37.6,14.9,17.7
44,Chatham,20320,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,418.3,0.5,1896.3,1855.8,8.2,25.3,2.2,40.0,13.7,19.0
45,Avalon Park,23495,13.3,69.6,19.7,74.5,14.6,63.9,22.1,33.8,239.6,27.7,83.9,18.5,11.4,57.9,45.1,44.5,434.8,0.6,1139.9,2059.9,1.9,16.7,0.6,41.9,13.3,16.6
46,South Chicago,15393,18.1,82.2,13.0,75.3,15.1,76.8,36.9,31.9,227.3,21.1,86.9,33.7,17.7,50.9,56.3,50.6,493.4,1.6,1774.7,893.5,6.9,28.0,5.9,43.1,28.2,17.7
47,Burnside,13756,12.9,64.0,7.9,68.4,13.2,68.7,70.3,7.6,191.2,32.8,86.1,70.3,13.0,69.5,44.0,99.1,375.0,3.6,3108.8,1574.8,6.8,22.5,5.5,40.4,18.6,23.4
48,Calumet Heights,28977,10.0,57.4,9.3,75.0,16.4,39.3,19.5,33.5,216.6,36.0,81.4,24.5,13.9,48.0,40.4,39.2,383.2,0.3,1188.0,1106.5,2.8,12.0,1.8,42.3,11.2,17.2
49,Roseland,17974,14.3,68.8,12.2,69.0,12.8,79.7,40.9,43.5,258.5,32.0,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512.0,1725.3,7.9,19.5,3.1,40.9,17.4,17.8
50,Pullman,19007,14.3,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,398.5,3.7,829.1,1480.4,2.7,20.1,1.4,42.0,15.6,21.0
51,South Deering,15506,15.8,76.7,14.9,76.9,15.7,65.3,41.3,25.3,224.0,32.5,80.6,35.1,11.8,59.2,48.7,54.9,427.1,0.3,907.0,1018.2,2.6,24.5,6.0,41.4,21.9,11.8
52,East Side,15347,17.7,85.8,6.4,73.3,11.0,53.0,10.7,15.3,182.9,12.9,73.9,10.1,3.7,45.9,26.2,33.3,398.5,0.9,191.2,98.6,5.2,18.7,8.3,42.5,35.5,14.5
53,West Pullman,16228,15.3,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,397.2,1.1,1656.9,1673.4,9.2,24.3,3.3,42.2,22.6,17.0
54,Riverdale,8535,12.5,46.1,15.3,74.1,16.5,64.5,33.0,25.0,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,,,1699.7,1397.9,5.8,61.4,5.1,50.2,24.6,26.4
55,Hegewisch,22561,13.7,73.2,7.7,66.9,13.1,47.1,6.9,20.0,210.0,16.7,80.0,13.4,8.4,57.9,28.6,47.1,298.8,1.1,,.,2.1,12.1,4.4,41.6,17.9,9.6
56,Garfield Ridge,24684,13.4,69.0,8.0,81.7,9.5,33.7,9.9,31.0,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,354.9,0.1,180.0,101.8,3.5,9.0,2.6,39.5,19.4,8.1
57,Archer Heights,16145,18.1,80.0,8.7,74.3,10.0,50.3,16.6,25.2,166.3,9.0,67.7,15.4,5.2,49.6,20.5,41.8,543.5,0.5,,.,1.5,13.0,8.5,40.5,36.4,14.2
58,Brighton Park,13138,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,580.4,0.9,97.2,52.7,11.5,23.0,13.2,39.8,48.2,11.2
59,McKinley Park,17577,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0.0,51.7,529.6,0.8,141.4,.,11.5,16.1,6.9,33.7,31.8,11.9
60,Bridgeport,24969,11.7,51.7,8.0,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8.0,54.4,15.8,40.1,384.9,0.7,110.8,65,9.9,17.3,4.8,32.3,25.6,11.2
61,New City,12524,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,555.0,0.8,1052.6,579.7,9.3,30.6,12.2,42.0,42.4,17.4
62,West Elsdon,16938,20.8,92.3,4.6,81.2,7.5,45.5,5.9,12.1,180.6,11.5,68.5,7.7,8.1,57.8,44.7,42.6,492.6,0.2,122.0,115.9,4.5,9.8,8.7,38.7,39.6,13.5
63,Gage Park,12014,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171.0,13.6,65.0,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,149.2,7.0,20.8,17.4,40.4,54.1,14.0
64,Clearing,23920,14.6,68.3,7.4,85.8,8.0,38.7,9.4,23.6,189.4,22.5,72.0,12.7,6.7,58.6,18.7,53.5,302.0,0.3,,.,0.9,5.9,3.4,36.4,18.5,9.6
65,West Lawn,15898,18.8,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,87.2,4.3,15.3,6.8,41.9,33.4,7.8
66,Chicago Lawn,14405,20.1,85.3,9.4,78.4,10.8,67.4,22.4,25.0,179.3,26.1,73.0,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,1159.9,5.3,22.2,6.5,40.0,31.6,11.9
67,West Englewood,10559,20.3,93.3,16.1,63.6,13.8,116.9,47.2,39.2,247.6,24.4,88.2,39.3,13.3,66.3,75.0,64.6,450.6,2.6,2762.2,2545.7,10.9,32.3,6.9,40.9,30.3,34.7
68,Englewood,11993,20.0,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401.0,2.8,2594.9,2323.5,11.3,42.2,4.8,43.4,29.4,21.3
69,Greater Grand Crossing,17213,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,453.7,1.9,2500.3,2034.2,4.8,25.6,4.2,42.9,17.9,18.9
70,Ashburn,22078,14.7,69.0,9.0,82.4,11.3,38.3,12.4,37.2,229.3,22.8,80.1,11.6,10.2,62.8,44.5,47.4,368.3,0.2,529.0,602.9,4.4,9.5,4.2,36.7,18.3,8.8
71,Auburn Gresham,16022,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243.0,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,1986.7,7.3,24.5,4.1,42.1,19.5,24.2
72,Beverly,40107,11.0,60.7,4.9,84.8,9.9,11.9,3.5,42.0,197.6,24.8,59.6,3.5,10.0,47.9,44.7,57.2,179.1,1.3,195.5,469.5,0.0,5.2,0.7,38.7,5.1,7.8
73,Washington Heights,19709,12.0,61.0,19.6,75.4,16.2,65.0,38.0,47.9,260.6,29.7,79.5,35.6,11.2,70.0,56.2,57.6,371.4,1.5,1298.2,1274.2,3.0,15.7,1.1,42.4,15.6,18.3
74,Mount Greenwood,34221,12.5,59.0,8.4,94.5,15.1,7.7,2.2,34.6,201.1,24.8,66.5,7.4,3.3,55.0,16.9,26.7,133.6,0.0,,.,0.0,3.1,1.1,37.0,4.5,6.9
75,Morgan Park,26185,13.2,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50.0,39.8,47.9,298.8,1.3,800.5,741.1,2.6,13.7,0.8,39.4,10.9,14.9
76,O'Hare,29402,15.8,70.0,3.5,82.0,5.0,15.9,5.6,20.5,138.5,8.7,47.3,11.8,2.0,37.4,2.8,40.4,182.9,0.5,,.,6.3,9.5,1.9,26.5,11.0,4.7
77,Edgewater,33364,12.1,48.1,7.5,76.1,7.4,15.1,5.8,18.5,162.0,16.2,48.8,3.9,6.9,40.1,23.7,31.5,308.6,0.9,120.1,427.5,10.5,16.6,3.9,23.4,9.0,9.0
