Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Homicide_rate_per_100k,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,ASSAULT,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,WEAPONS VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,THEFT,BATTERY,OTHER OFFENSE,ROBBERY,PUBLIC PEACE VIOLATION,SEX OFFENSE,PROSTITUTION,BURGLARY,STALKING,CRIMINAL SEXUAL ASSAULT,ARSON,Homicide,GAMBLING,KIDNAPPING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,LIQUOR LAW VIOLATION,OBSCENITY,PUBLIC INDECENCY,OTHER NARCOTIC VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,RITUALISM,Violence,Sexual Crimes,Property Crimes,Drugs
Albany Park,14,18.299999999992167,76.5,8.5,73.30000000003136,8.29999999999675,44.5,4.699999999998016,22.900000000011115,158.10000000006494,16.799999999992504,72.1000000000313,5.3000000000015,4.899999999997733,36.90000000001573,13.099999999997983,39.099999999983844,374.0999999998181,1.2000000000005009,72.89999999996802,16.799999999992504,17.09999999999301,11.200000000005423,32.0999999999854,34.9000000000153,20355,9.0,1361,811,220,103,3883,726,186,1468,1809,4851,4649,1844,883,359,161,279,1815,12,3,49,21,32,12,55,24,153,1,0,4,0,0,0,6116,546,9053,1813
Archer Heights,57,18.10000000000354,80.0,8.699999999998276,74.30000000001101,10.0,50.29999999999405,16.600000000003334,25.20000000000509,166.30000000003068,9.0,67.69999999999244,15.399999999996862,5.199999999999074,49.59999999999004,20.5,41.79999999999231,543.5,0.5,,1.5,13.0,8.5,40.5,36.40000000000514,16145,14.200000000000014,460,374,70,39,2083,147,77,732,533,2528,1340,589,411,96,57,380,858,5,0,29,9,4,14,5,4,28,1,0,0,0,0,0,1856,476,4547,533
Armour Square,34,11.5,57.099999999989336,12.399999999997812,79.09999999998583,11.800000000001956,16.20000000000052,1.7999999999996634,10.699999999998143,162.89999999997764,23.10000000000387,42.5,1.7999999999996634,1.5,54.299999999993474,17.200000000001168,38.70000000000699,490.29999999990787,0.2000000000000317,222.6000000000413,22.700000000003705,35.799999999993396,5.900000000000978,37.90000000000427,37.5,16942,11.60000000000194,447,623,33,12,1325,479,49,540,718,2545,1414,464,557,44,34,28,501,8,0,8,5,61,4,21,8,34,1,1,0,0,0,0,1886,74,4155,718
Ashburn,70,14.70000000000716,69.0,9.0,82.39999999995804,11.29999999999419,38.30000000001904,12.400000000002029,37.19999999998177,229.2999999998873,22.800000000000328,80.1000000000405,11.599999999999438,10.200000000005181,62.800000000029776,44.5,47.39999999999583,368.3000000000123,0.1999999999998985,529.0,4.399999999997923,9.5,4.19999999999807,36.699999999982154,18.29999999999196,22078,8.799999999995846,1732,1009,223,102,4676,505,238,1434,1370,4948,4325,2079,1270,264,113,31,2695,13,0,43,20,28,31,37,14,41,4,0,0,0,0,0,6165,246,10392,1370
Auburn Gresham,71,15.100000000002446,70.5,11.599999999984096,71.79999999989003,13.900000000005383,83.09999999989112,37.60000000005671,41.89999999993955,243.0,24.5,83.59999999988955,32.60000000005113,15.600000000005354,65.09999999996403,43.5,63.70000000010027,393.8000000005225,1.5,2032.199999999119,7.29999999999967,24.5,4.099999999997591,42.100000000060604,19.5,16022,24.19999999996758,5626,2056,764,317,9411,2368,1048,4109,10831,11911,17193,5500,4028,517,214,601,6385,40,7,109,117,319,78,185,55,110,1,1,0,0,0,0,23178,1139,26566,10831
Austin,25,18.0,80.09999999975076,15.399999999946946,72.90000000023707,14.299999999986376,81.80000000026216,34.40000000008546,33.700000000113,261.89999999911316,29.79999999989658,113.89999999989708,28.5,13.299999999999356,74.59999999975985,69.80000000017915,56.800000000049636,492.2999999983035,2.0,1741.1000000006104,5.800000000019963,27.0,5.699999999980505,39.0,25.0,15920,21.0,10491,3841,1032,710,16303,3508,2054,6685,47193,23215,35640,10884,7907,1075,427,3699,8258,41,5,267,238,1591,134,555,63,324,6,0,1,0,0,1,46833,4841,46262,47194
Avalon Park,45,13.299999999997297,69.59999999998381,19.700000000005605,74.5,14.600000000003785,63.90000000001584,22.099999999998236,33.799999999991876,239.60000000006136,27.700000000007346,83.89999999999755,18.5,11.399999999996787,57.90000000001506,45.09999999998726,44.5,434.79999999988377,0.6000000000001703,1139.9000000002186,1.9000000000004775,16.700000000004522,0.6000000000001703,41.900000000011936,13.299999999997297,23495,16.60000000000403,1099,540,115,68,1738,260,176,943,884,3054,2937,935,884,133,41,12,1156,9,0,24,22,15,18,15,11,9,1,1,0,0,0,0,4111,121,6066,884
Avondale,21,18.5,77.6999999999701,7.299999999997347,74.3999999999633,7.5,63.3999999999731,4.699999999997963,16.599999999992527,133.89999999993825,13.400000000003699,52.69999999997336,4.600000000002256,5.700000000000132,32.5,37.69999999998128,36.0,373.30000000002514,0.7000000000003614,85.30000000001064,10.100000000002701,14.599999999994694,5.799999999999671,30.40000000001465,25.69999999999428,20489,9.299999999995412,1567,983,185,105,3773,591,170,2130,1604,5897,4387,1789,1067,213,122,236,2268,16,3,57,22,9,22,33,10,100,2,0,0,0,0,0,6065,466,11394,1604
Belmont Cragin,19,20.0,88.60000000000372,6.900000000004411,74.10000000006501,7.599999999993851,68.20000000006407,7.0,14.40000000001424,152.59999999984592,17.69999999998286,58.600000000057584,5.5,5.59999999999997,37.80000000003278,27.300000000027485,38.1999999999681,421.5,0.800000000000367,95.90000000002492,9.400000000009431,18.599999999983716,10.0,36.89999999996333,37.0,15246,11.5,3217,1691,500,201,7845,1118,506,4078,3903,10544,9130,4070,1939,582,256,497,4408,12,4,171,35,22,63,120,40,188,1,1,1,0,0,0,12656,958,21072,3904
Beverly,72,11.0,60.69999999999887,4.900000000000905,84.80000000001405,9.899999999998531,11.899999999997801,3.5,42.0,197.6000000000373,24.799999999995308,59.599999999988285,3.5,10.0,47.90000000000889,44.70000000000778,57.200000000001644,179.10000000003154,1.2999999999997902,195.5,0.0,5.199999999999161,0.6999999999998783,38.700000000007186,5.099999999999073,40107,7.800000000001528,475,691,98,19,1626,303,44,480,297,2721,1159,908,352,59,40,1,1045,7,0,11,2,3,26,6,5,36,0,0,0,0,0,0,1678,60,4629,297
Bridgeport,60,11.700000000003433,51.69999999998315,8.0,80.30000000002742,11.399999999996286,28.400000000009758,4.899999999999078,16.5,168.89999999994325,16.100000000000573,49.800000000015714,4.5,8.0,54.40000000001622,15.799999999994437,40.099999999986295,384.9000000001171,0.7000000000001917,110.8000000000327,9.899999999996604,17.29999999999391,4.80000000000166,32.299999999999,25.59999999999172,24969,11.200000000003067,1210,536,118,59,3616,458,97,934,1013,3785,3011,1343,375,178,66,94,1601,5,0,57,14,8,16,31,18,46,5,0,0,0,0,0,4326,219,6729,1013
Brighton Park,58,20.599999999988892,90.60000000004884,7.200000000002931,82.69999999999214,8.299999999995913,58.10000000002405,11.099999999999318,26.800000000009128,139.10000000006428,12.799999999993258,69.69999999996783,10.600000000000382,5.899999999996837,27.699999999989657,15.09999999999333,38.30000000002037,580.4000000002618,0.9000000000003664,97.2000000000211,11.5,23.0,13.20000000000689,39.80000000002135,48.19999999997426,13138,11.20000000000604,1513,746,294,123,4326,477,317,1988,2332,4487,4926,1789,939,480,191,1170,2184,13,1,69,48,4,39,39,24,102,1,2,1,0,0,0,6619,1485,9661,2333
Burnside,47,12.90000000000096,64.0,7.900000000000646,68.39999999999937,13.199999999999026,68.70000000000569,70.29999999999418,7.599999999999385,191.19999999998768,32.80000000000083,86.09999999999572,70.29999999999418,13.0,69.5,44.0,99.09999999999323,375.0,3.6000000000002528,3108.800000000206,6.799999999999508,22.5,5.5,40.39999999999671,18.600000000000325,13756,23.39999999999855,343,75,53,20,599,96,46,219,513,539,907,273,157,38,12,1,430,4,1,15,12,21,2,3,2,8,0,0,0,0,0,0,1281,34,1349,513
Calumet Heights,48,10.0,57.400000000015346,9.300000000000594,75.0,16.399999999995917,39.30000000000024,19.5,33.5,216.6000000000595,36.0,81.39999999999634,24.5,13.899999999996227,48.0,40.400000000012014,39.19999999999988,383.2000000001102,0.3000000000000893,1188.0,2.80000000000037,12.0,1.7999999999995193,42.30000000000352,11.20000000000148,28977,17.200000000005026,948,608,137,61,2154,328,173,1111,1145,3084,2529,1131,843,57,37,2,1304,16,1,14,15,23,12,10,4,28,0,0,0,0,0,0,3522,101,6358,1145
Chatham,44,14.400000000015083,71.2999999999197,15.400000000015618,72.5,15.599999999984284,68.20000000007548,45.2000000000191,41.89999999995195,213.5,24.100000000014752,73.20000000008305,37.899999999956705,10.900000000012453,51.5,47.8999999999463,50.299999999963944,418.300000000456,0.5,1896.29999999804,8.200000000008043,25.3000000000279,2.1999999999982256,40.0,13.699999999987902,20320,19.0,3839,2261,391,248,6280,1613,547,3687,6416,11874,11076,3762,3491,270,158,211,4142,55,1,69,92,114,46,87,23,62,4,3,0,0,0,1,15145,618,23263,6416
Chicago Lawn,66,20.100000000018717,85.29999999988388,9.400000000013337,78.40000000006727,10.800000000011941,67.40000000001744,22.399999999973645,25.0,179.30000000021113,26.100000000035823,73.0,19.39999999998397,11.099999999985139,42.899999999941734,22.10000000002545,61.70000000008929,524.6000000007601,1.1999999999983069,1189.5,5.299999999992768,22.199999999970277,6.5,40.0,31.600000000045796,14405,11.900000000015428,4963,1744,633,300,9615,1678,939,4196,10269,10882,14612,4484,3984,831,269,363,6091,21,2,153,112,269,61,148,31,155,3,0,0,0,0,0,19932,934,25245,10269
Clearing,64,14.600000000003236,68.3000000000112,7.399999999999281,85.80000000001841,8.0,38.70000000000774,9.399999999998196,23.600000000002307,189.3999999999579,22.5,72.0,12.699999999999752,6.699999999998498,58.59999999998703,18.70000000000357,53.5,302.0,0.30000000000005905,,0.8999999999998001,5.900000000000577,3.400000000000761,36.40000000000669,18.5,23920,9.60000000000189,746,463,121,24,2575,209,60,506,596,2217,1910,1105,154,119,39,4,937,8,0,25,8,9,12,9,8,23,2,0,0,0,0,0,2709,67,3834,596
Douglas,35,10.299999999993885,42.19999999997501,11.700000000006776,76.0,10.20000000000606,34.199999999980065,13.599999999993459,34.300000000020006,269.9000000001565,33.19999999998087,119.10000000006254,9.100000000001739,13.40000000000629,74.5,85.5,62.10000000003447,482.19999999973845,0.0,1063.3000000005256,4.199999999998088,26.09999999998544,1.5999999999991006,31.0,16.900000000009808,23098,16.70000000000797,1783,829,144,97,2189,3063,180,1117,7218,5445,5618,1555,1055,125,75,47,758,12,1,15,22,90,17,43,24,14,0,0,0,0,0,0,7479,220,8416,7218
Dunning,17,12.5,64.69999999997812,6.800000000001993,82.69999999997275,9.8999999999967,19.90000000000322,3.699999999998776,23.70000000000743,191.5,25.900000000007868,42.5,5.1999999999982895,4.899999999999271,53.90000000001587,24.40000000000692,32.0,233.89999999993555,0.09999999999996996,,2.4000000000008055,8.300000000000383,4.800000000001611,34.900000000011836,18.0,26347,8.60000000000292,945,829,107,33,3456,351,68,947,703,4150,2544,1749,307,92,74,1,1455,9,0,28,5,23,26,14,10,59,0,0,1,0,0,0,3558,108,6895,704
East Garfield Park,27,19.400000000016405,80.79999999991941,17.5,73.20000000006962,16.300000000013828,93.20000000009465,38.39999999996245,21.699999999978026,236.80000000016818,24.80000000002505,97.2999999999015,37.1000000000356,11.0,56.29999999996539,78.10000000006477,47.5,503.6999999995262,0.9000000000008761,2325.0999999978,13.599999999986528,39.699999999971205,7.5,43.19999999998862,26.199999999973805,13596,16.400000000015147,3448,1331,258,161,4557,994,613,2332,12393,6878,11277,2410,2147,261,110,2070,1855,28,2,74,74,278,35,124,39,71,2,2,0,0,0,0,14947,2343,13286,12393
East Side,52,17.70000000000469,85.80000000002362,6.399999999998986,73.30000000001971,11.0,53.0,10.700000000000141,15.299999999996402,182.89999999994993,12.899999999996565,73.90000000001345,10.100000000002774,3.6999999999991684,45.900000000012554,26.200000000006945,33.29999999999205,398.5,0.8999999999997698,191.2000000000215,5.199999999998569,18.700000000005062,8.300000000001983,42.5,35.5,15347,14.5,1131,361,193,44,3014,239,195,628,1217,2010,2602,1033,247,173,68,2,1291,7,1,27,13,5,19,11,17,37,0,0,2,0,0,0,3809,115,4212,1219
Edgewater,77,12.099999999997335,48.10000000001014,7.5,76.10000000004068,7.399999999996287,15.09999999999324,5.7999999999991125,18.5,162.0,16.20000000000779,48.80000000002612,3.8999999999981774,6.89999999999644,40.09999999999358,23.69999999999554,31.5,308.59999999983444,0.9000000000003723,120.1000000000599,10.5,16.599999999991745,3.8999999999981774,23.40000000001262,9.0,33364,9.0,1551,1433,147,82,3442,935,118,1022,1820,7949,4651,2165,1029,238,125,55,1764,12,3,32,23,14,12,29,17,110,2,1,0,0,0,0,6286,265,11793,1820
Edison Park,9,11.299999999999491,59.5,7.900000000000209,86.600000000004,12.599999999999326,3.899999999999794,0.0,13.80000000000006,189.70000000000653,15.099999999999199,53.0,7.099999999999931,4.60000000000023,45.199999999997964,28.0,38.89999999999823,134.70000000000695,0.0,,1.8000000000000964,5.100000000000243,0.5999999999999731,36.60000000000152,8.5,38337,7.400000000000125,136,162,18,6,655,56,4,74,38,632,463,350,16,16,23,4,158,4,0,6,0,1,12,0,6,8,2,0,0,0,0,0,623,33,898,38
Englewood,68,20.0,85.79999999988105,14.5,69.70000000010339,13.099999999983607,105.29999999986859,45.100000000061115,32.89999999995076,252.19999999962135,30.199999999995004,101.79999999987047,44.89999999993903,13.400000000014627,76.79999999988894,57.70000000008616,71.59999999995016,401.0,2.7999999999964165,2594.9000000036813,11.30000000001462,42.20000000004939,4.799999999993059,43.39999999994014,29.399999999955984,11993,21.300000000029616,5880,1210,507,368,9108,1879,1141,3408,10136,10262,19441,3909,3750,481,249,1223,5697,22,4,162,130,314,62,118,33,65,4,1,0,0,0,0,25708,1844,23212,10136
Forest Glen,12,10.0,60.59999999999925,7.5999999999992465,79.29999999999266,10.30000000000084,6.299999999999523,3.2999999999996765,25.0,138.69999999999283,14.300000000001418,37.20000000000246,6.200000000000513,3.7999999999996232,27.0,20.30000000000186,31.0,160.8000000000126,0.0,,2.2000000000001214,6.09999999999942,1.3000000000001177,40.60000000000372,6.299999999999523,41509,5.5,219,262,44,12,1185,89,5,177,197,1372,525,465,54,20,25,5,554,0,0,4,3,8,19,2,1,11,0,0,0,0,0,0,771,42,2177,197
Fuller Park,37,11.899999999998235,60.4000000000105,17.100000000003,71.40000000001247,14.300000000001853,69.19999999999806,49.59999999999228,8.5,258.89999999995456,21.100000000003533,111.69999999998109,22.600000000003686,22.600000000003686,89.59999999998534,70.5,82.4000000000139,489.8999999999691,2.5,1061.9000000001865,0.0,55.5,4.5,38.20000000000658,33.700000000005915,9016,40.0,614,340,78,34,849,476,133,461,1477,1639,1796,341,472,74,23,24,366,3,1,8,9,29,7,31,13,3,0,0,0,0,0,0,2447,82,2958,1477
Gage Park,63,21.799999999999443,93.20000000000991,6.799999999997801,80.39999999995798,6.799999999997801,61.39999999997379,10.799999999994304,23.40000000001231,171.0,13.599999999995601,65.0,11.099999999999856,5.399999999997152,34.09999999998425,41.09999999999315,51.19999999997349,590.3000000002995,0.7999999999995858,171.6000000000106,7.0,20.799999999997176,17.40000000000852,40.40000000000858,54.100000000017175,12014,14.0,1536,578,255,131,4324,457,395,1962,3163,4490,4617,1688,1019,557,131,121,2144,12,1,111,51,22,31,48,20,95,0,0,0,0,0,0,6366,384,9666,3163
Garfield Ridge,56,13.400000000001318,69.0,8.0,81.69999999996784,9.5,33.69999999998837,9.899999999996037,31.0,231.9000000000476,24.599999999988686,80.3000000000319,9.200000000003644,4.5,59.19999999997332,30.90000000001376,42.19999999998133,354.9000000001602,0.09999999999995396,180.0,3.5,9.0,2.599999999998987,39.5,19.40000000000811,24684,8.100000000003549,1288,1177,148,61,4115,642,280,1066,1648,4705,3397,1544,550,180,87,1842,1473,15,2,36,14,22,17,33,12,40,2,0,0,0,0,0,4764,1992,7823,1648
Grand Boulevard,38,14.299999999993567,58.199999999977905,12.700000000007911,74.20000000002284,13.700000000008185,54.80000000003274,32.09999999999869,22.599999999985105,218.2999999998693,27.699999999980797,82.60000000005643,25.80000000001719,12.099999999992376,63.8000000000038,39.0,46.69999999996966,590.3999999998243,1.0,1454.6000000009565,13.200000000008052,28.300000000019786,2.699999999998186,41.69999999997161,19.400000000013513,22056,20.599999999985915,2756,810,203,170,4076,1320,355,1882,4002,6215,7859,2400,1655,145,106,1158,2407,14,2,29,56,125,28,64,21,36,3,0,0,0,0,0,10749,1436,12208,4002
Greater Grand Crossing,69,18.199999999975365,82.40000000006252,12.900000000015547,72.29999999990207,15.0999999999874,84.2999999998895,49.70000000005777,29.100000000038268,274.39999999999935,31.5,92.29999999988293,44.600000000057335,14.199999999981541,77.5,70.29999999990457,58.200000000076535,453.69999999948016,1.8999999999974617,2500.3000000014595,4.799999999993555,25.600000000030764,4.200000000005702,42.89999999994408,17.89999999999606,17213,18.89999999999134,5000,1722,523,330,7883,2887,865,4164,8557,9376,15761,4526,3822,519,205,284,4724,31,1,92,150,186,69,141,49,90,4,0,0,0,0,1,21121,820,22204,8557
Hegewisch,55,13.699999999998425,73.20000000000765,7.699999999999466,66.90000000000578,13.100000000000234,47.10000000000158,6.900000000000792,20.0,210.0,16.699999999998187,80.0,13.399999999999642,8.40000000000091,57.900000000003054,28.600000000003263,47.10000000000158,298.8000000000309,1.100000000000104,,2.1000000000002275,12.09999999999977,4.400000000000416,41.60000000000406,17.89999999999827,22561,9.599999999999023,431,191,61,21,1054,114,44,286,458,1198,996,514,100,41,16,1,525,10,0,21,6,7,9,5,8,14,0,0,0,0,0,0,1471,38,2126,458
Hermosa,20,20.299999999993425,86.69999999997242,6.69999999999805,77.5,8.800000000000047,69.69999999997705,12.700000000003541,18.400000000000922,135.19999999999152,15.600000000003092,63.59999999998962,11.799999999997075,9.299999999999418,27.700000000007925,25.599999999992786,27.599999999991624,394.70000000011953,0.7000000000001536,154.5,15.799999999994869,19.099999999998257,8.399999999997242,36.300000000001226,41.90000000001346,15411,12.899999999996174,1036,420,176,66,2286,293,227,1236,1641,2295,3505,1347,601,238,70,405,1349,6,1,74,21,5,35,46,7,66,0,0,0,0,0,0,4678,542,5523,1641
Humboldt Park,23,19.199999999969943,80.70000000012341,12.300000000020795,70.9000000000864,11.699999999980527,77.9000000001121,29.0,26.300000000006573,211.09999999995253,26.600000000045462,94.09999999984306,22.6999999999674,9.80000000001422,48.0,52.5,53.5,447.7000000000802,1.3000000000019578,1234.7000000019286,9.699999999986112,32.60000000005424,11.199999999981737,38.29999999994615,36.79999999995155,13391,12.300000000020795,5486,1555,590,292,8658,1415,1071,4366,21439,11217,18222,4643,3297,511,244,2034,4144,46,4,210,155,535,53,222,34,164,3,0,3,0,0,0,24160,2574,23111,21442
Hyde Park,41,9.700000000000951,33.90000000001105,5.899999999998573,80.30000000002589,5.5,7.60000000000241,5.800000000001793,33.59999999998906,144.0,11.70000000000278,34.0,5.0,10.399999999996671,34.900000000011396,24.099999999993926,26.0,369.0,0.0,216.6000000000625,5.300000000001687,18.200000000005943,2.5,26.70000000000776,5.300000000001687,39243,6.899999999997935,862,986,99,61,1780,498,77,1002,612,5381,2158,1105,993,46,79,2,1460,8,0,17,9,20,19,16,6,15,2,0,0,0,0,0,3071,142,8861,612
Irving Park,16,15.79999999999207,67.1000000000418,7.7000000000046525,79.89999999994997,10.200000000006364,37.0,4.100000000002539,29.90000000001608,169.40000000004724,19.19999999999828,60.19999999996774,5.7000000000022,5.299999999998513,41.30000000002572,17.900000000011257,42.0,333.5,0.5999999999999462,159.59999999997277,9.299999999994144,10.799999999993343,5.600000000003418,31.59999999998414,22.0,26713,10.299999999993583,1709,980,235,115,5500,746,156,2539,1880,7064,5633,2225,928,328,164,51,2766,21,2,78,13,13,40,39,16,114,2,0,0,0,0,0,7489,332,13353,1880
Jefferson Park,11,13.80000000000016,67.80000000000813,6.599999999999651,82.90000000001542,7.699999999998413,28.599999999999497,4.800000000000789,18.399999999996393,208.19999999998598,23.20000000000462,49.200000000006405,4.1999999999995135,8.300000000001683,55.700000000000216,32.09999999999702,41.900000000007736,236.79999999998984,0.20000000000001691,,7.100000000000085,6.400000000000541,1.9000000000001156,34.40000000000434,13.5,27280,9.0,602,663,109,17,2017,273,23,513,399,2496,1638,1165,164,70,48,4,711,8,0,19,5,4,14,15,11,31,2,0,0,0,0,0,2289,69,3909,399
Kenwood,39,12.200000000002857,51.0999999999851,11.39999999999653,77.60000000000475,11.899999999996432,25.70000000000747,15.200000000004591,30.900000000009413,196.39999999994177,34.20000000000357,45.5,17.39999999999865,8.89999999999719,49.09999999998544,46.199999999990546,31.5,397.9000000000967,0.39999999999989777,610.1999999999742,0.0,23.099999999995273,2.2999999999999985,34.20000000000357,10.799999999998281,37519,11.0,1236,517,144,61,1941,431,135,779,1098,3939,3200,1322,611,75,52,4,1075,9,0,15,11,50,14,13,12,6,2,0,0,0,0,0,4488,117,6430,1098
