Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Homicide_rate_per_100k,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,ASSAULT,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,WEAPONS VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,THEFT,BATTERY,OTHER OFFENSE,ROBBERY,PUBLIC PEACE VIOLATION,SEX OFFENSE,PROSTITUTION,BURGLARY,STALKING,CRIMINAL SEXUAL ASSAULT,ARSON,Homicide,GAMBLING,KIDNAPPING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,LIQUOR LAW VIOLATION,OBSCENITY,PUBLIC INDECENCY,OTHER NARCOTIC VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,RITUALISM,Violence,Sexual Crimes,Property Crimes,Drugs
Lake View,6,13.5,38.6999999999686,6.299999999993583,79.10000000005346,8.099999999992967,15.800000000013245,1.4000000000000554,20.09999999998836,126.900000000107,13.0,38.5,1.8000000000017677,2.1999999999980244,32.5,17.0,24.399999999993177,179.2000000000071,0.4000000000001698,81.79999999991672,3.200000000001358,10.5,1.1999999999988034,16.5,2.8999999999970165,58227,4.700000000004641,1716,3853,105,198,6250,1489,98,1930,2005,20180,6548,2556,1910,398,224,307,4394,29,3,30,14,11,14,49,22,206,2,3,10,0,0,0,8344,732,28450,2015
Lincoln Park,7,13.20000000000264,38.69999999997022,6.60000000000132,75.70000000004897,7.799999999993563,2.1000000000009877,0.700000000000501,23.69999999998084,152.90000000010065,16.69999999999233,50.10000000004127,2.3000000000018073,2.399999999998408,40.0,27.300000000022774,35.30000000002816,173.2999999998737,0.599999999999602,50.30000000002035,1.199999999999204,11.7999999999918,0.599999999999602,20.40000000001532,4.299999999997799,71403,4.5,1113,2624,90,114,5752,1311,58,1769,869,19510,4089,1525,1224,182,164,148,3375,16,0,23,6,10,19,32,10,183,0,4,0,0,0,0,5260,426,25907,869
Lincoln Square,4,17.09999999999792,61.0,8.100000000003023,80.5,9.700000000002296,38.40000000001384,5.0,21.700000000007464,153.2000000000348,8.600000000003186,55.40000000001158,6.1000000000021055,3.8000000000014196,43.09999999998513,27.599999999989855,36.900000000013456,273.29999999989866,0.39999999999985747,98.80000000003189,8.5,9.5,3.0999999999990018,25.599999999990878,12.5,35503,6.800000000001688,917,909,86,61,3059,483,62,1020,992,5353,2782,1591,431,214,103,142,1406,12,0,18,6,28,14,12,16,86,1,1,0,0,0,0,3753,306,8240,992
Logan Square,22,18.19999999997915,63.5,7.200000000007578,78.2000000000905,9.400000000010834,66.10000000006481,8.599999999990322,9.200000000004307,148.7000000000607,13.699999999987597,75.70000000008733,10.199999999999319,4.299999999995161,37.699999999987625,17.5,31.899999999965555,364.3999999998251,0.9000000000009473,209.0,8.400000000009353,17.199999999980644,3.2000000000025,26.699999999970967,18.5,29026,7.5,3203,1870,433,214,7978,1157,377,4020,3807,16300,9274,3548,2199,395,251,583,5128,29,2,135,40,10,62,75,40,226,6,2,3,0,0,1,12754,1050,27749,3810
Loop,32,9.400000000010259,27.699999999971116,5.299999999994133,78.20000000008606,6.90000000000554,1.300000000001439,0.6999999999998224,20.199999999977678,120.09999999988844,10.800000000001221,26.800000000028295,4.0,5.700000000006272,29.199999999970206,17.199999999981905,39.0,297.3000000003234,0.2999999999996709,129.90000000013126,6.5,11.099999999987746,2.0,15.5,3.39999999999643,67699,4.200000000004354,2292,5946,52,89,3035,3169,102,935,1897,29990,4632,2723,1662,484,221,318,774,42,1,9,6,11,16,56,53,126,2,4,4,0,0,0,7008,629,33430,1901
Lower West Side,31,16.5,68.19999999996872,4.5,80.80000000002022,8.799999999995764,49.0,11.70000000000607,27.19999999999177,141.2999999999318,11.900000000001377,61.89999999997424,11.70000000000607,5.399999999997197,27.800000000009057,14.299999999992917,39.19999999998004,589.0,0.7999999999995906,92.29999999999448,11.400000000000416,27.19999999999177,10.399999999998217,35.199999999983056,44.300000000023026,15467,13.0,1905,756,213,76,4079,658,331,1565,2070,5862,4836,1644,710,596,150,334,1375,13,4,55,34,5,22,43,23,179,5,0,1,1,0,0,6875,564,9557,2071
McKinley Park,59,16.70000000000281,73.9000000000153,7.300000000001647,80.5,9.899999999997904,47.90000000001096,5.099999999998997,32.70000000000713,148.39999999997048,14.200000000001252,61.40000000001367,6.5,7.300000000001647,38.29999999999221,0.0,51.699999999999086,529.5999999999127,0.7999999999999926,141.39999999997363,11.5,16.10000000000353,6.899999999999523,33.700000000007265,31.799999999993,17577,11.899999999997279,668,391,102,32,2134,187,92,713,948,3012,1794,688,271,71,59,14,854,6,0,33,10,5,10,13,9,51,2,0,0,0,0,0,2524,105,4869,948
Montclaire,18,17.10000000000204,83.5,8.300000000000962,77.59999999999005,8.800000000001074,61.5,8.599999999999016,29.899999999996343,151.0,15.399999999998379,89.59999999998827,6.5,4.599999999999423,33.39999999999612,21.89999999999713,40.299999999994775,315.5,0.8999999999999169,,3.0,12.800000000001646,5.800000000000123,35.0,28.399999999996457,21257,10.800000000001413,385,248,57,19,1151,76,19,567,228,1627,1068,644,146,34,20,8,589,0,0,16,5,5,3,5,5,14,1,0,0,0,0,0,1482,47,2937,228
Morgan Park,75,13.200000000005918,67.5,10.600000000004039,74.5,12.299999999994501,46.69999999997932,19.9000000000081,32.400000000013954,218.20000000009762,27.099999999987865,75.39999999997097,15.799999999993139,13.099999999999781,50.0,39.8000000000162,47.900000000007786,298.7999999998785,1.2999999999994993,800.5,2.5999999999989987,13.700000000006128,0.7999999999996411,39.40000000001561,10.899999999995911,26185,14.900000000003006,1601,876,244,83,3131,652,241,1049,2071,4549,4236,1886,768,181,59,7,1885,18,2,30,28,49,39,36,15,27,3,0,0,0,0,0,5949,151,8305,2071
Mount Greenwood,74,12.5,59.0,8.400000000000936,94.5,15.10000000000121,7.699999999999351,2.200000000000233,34.60000000000381,201.10000000000446,24.799999999999592,66.5,7.400000000000867,3.299999999999602,55.0,16.8999999999983,26.700000000001207,133.59999999998507,0.0,,0.0,3.099999999999949,1.1000000000001164,37.0,4.5,34221,6.900000000000824,444,358,104,15,1149,153,30,136,266,1559,986,686,75,39,47,0,310,8,0,4,1,3,28,4,7,29,2,0,1,0,0,0,1470,62,2115,267
Near North Side,8,10.699999999982813,35.8999999999419,8.599999999985855,69.7000000001141,9.599999999984902,34.0,3.7000000000063316,24.0,142.69999999981889,15.100000000009858,27.0,3.2000000000055016,6.5,33.60000000005571,15.100000000009858,22.0,311.1999999995136,0.10000000000017192,244.39999999982697,5.5,13.400000000000704,2.0,23.3000000000296,3.4000000000001687,87163,5.200000000007863,3189,7520,173,201,6321,6713,296,1975,5592,35852,12042,3363,2312,488,257,2151,2208,42,1,17,32,68,20,195,44,284,3,5,3,0,1,2,15344,2611,42411,5595
Near South Side,33,21.400000000008497,72.89999999997633,8.799999999997349,78.1000000000283,10.899999999995995,50.900000000006344,4.80000000000188,31.90000000001336,169.0,19.20000000000752,61.5,6.600000000002823,4.80000000000188,46.19999999998083,51.400000000005384,52.4000000000035,301.299999999881,0.19999999999991466,300.59999999989697,5.0,11.100000000004039,1.4000000000005721,21.0,7.1000000000030346,60593,5.699999999997957,945,937,94,37,1599,4563,79,653,2265,6236,2816,1157,471,84,43,21,542,7,2,10,11,30,7,50,6,23,1,0,0,0,0,0,3795,103,7915,2265
Near West Side,28,18.19999999997356,55.600000000049086,9.0,77.59999999992955,10.5,36.70000000002658,12.699999999982275,33.39999999995074,202.0,19.199999999972512,62.29999999990781,9.30000000000718,9.09999999998678,66.20000000009773,33.600000000049526,43.5,396.69999999949135,0.5,629.2000000005959,14.099999999989226,21.600000000025304,3.799999999994383,22.899999999970845,11.199999999986137,41488,10.699999999987664,4284,3195,275,217,7894,3891,354,3963,5866,25040,11513,3997,2614,660,197,1186,2706,29,0,39,65,130,29,101,50,111,8,3,1,0,0,0,15980,1600,34402,5867
New City,61,21.399999999993323,93.4000000000556,11.800000000007367,75.89999999998251,12.199999999991347,94.29999999989222,26.600000000023577,23.600000000014735,235.1999999997584,29.199999999969275,83.70000000009783,24.60000000001792,7.900000000008646,69.39999999994598,40.70000000000443,50.20000000003884,555.0,0.8000000000006517,1052.6000000010401,9.29999999999683,30.60000000003267,12.199999999991347,42.0,42.3999999999505,12524,17.4000000000132,4146,1182,505,258,6920,1395,1022,2940,9250,9433,13029,3132,1954,794,267,1411,3535,13,3,144,101,271,44,166,30,148,3,1,0,0,0,0,17494,1939,17936,9250
North Center,5,22.400000000004948,76.19999999997499,9.100000000002998,80.39999999998861,9.799999999998837,8.399999999997236,1.0,16.600000000001458,152.10000000004993,26.099999999992452,49.800000000013576,1.0,2.6999999999994664,42.40000000001359,15.10000000000392,41.59999999998659,178.1000000000562,0.8999999999997477,85.39999999998382,1.9000000000006108,7.100000000002205,0.19999999999994342,25.5,5.399999999998933,51615,4.5,654,987,68,61,2546,908,58,796,739,5363,1742,1151,335,112,60,26,1709,11,0,19,5,11,16,25,20,52,8,0,0,0,0,0,2456,147,8239,739
North Lawndale,29,20.600000000022433,86.29999999988124,15.300000000022768,75.79999999989059,15.199999999977388,108.90000000015854,46.70000000006153,45.79999999994093,261.5,34.79999999998113,99.20000000012755,37.6000000000544,14.099999999989844,61.70000000009184,54.0,70.20000000010329,565.700000000344,1.3999999999982429,2529.900000003602,9.300000000007415,38.6000000000554,7.200000000004001,40.89999999994248,30.399999999954776,12548,18.5,4763,1154,413,284,7405,1407,823,3124,19091,10073,16902,4218,3110,505,206,787,3376,31,1,148,135,582,41,131,37,135,5,1,0,0,0,0,22026,1278,19761,19091
North Park,13,10.899999999998371,54.20000000000739,9.699999999998267,79.09999999998597,10.19999999999821,10.5,3.0,20.39999999999642,143.6999999999738,21.899999999996265,58.90000000001087,3.099999999999466,5.400000000000926,34.70000000000637,14.60000000000269,26.700000000004795,317.2999999999612,0.400000000000063,,8.899999999999313,12.399999999997863,3.799999999999904,39.70000000000704,18.200000000001598,24941,7.5,403,432,63,28,1582,213,54,493,555,2671,1197,663,210,89,78,36,953,7,1,11,4,14,8,10,10,27,2,0,7,0,0,0,1633,143,4345,562
Norwood Park,10,10.399999999997787,59.59999999998679,4.9000000000009765,89.40000000001432,8.30000000000178,3.4000000000007655,4.699999999999085,20.700000000004394,180.80000000002624,18.899999999996165,47.299999999995805,8.699999999998168,4.400000000000922,44.5,26.400000000000546,45.20000000000656,163.10000000003424,0.0,,1.60000000000001,5.900000000000538,2.2999999999995273,40.5999999999915,13.5,31659,7.300000000001626,604,724,113,32,2347,282,27,372,322,3174,1681,1217,107,65,56,10,747,5,0,20,3,5,19,4,11,15,0,0,0,0,0,0,2338,98,4430,322
O'Hare,76,15.799999999995743,70.0,3.5,82.0,5.0,15.899999999996014,5.6000000000006125,20.5,138.5,8.69999999999823,47.3000000000071,11.799999999998246,2.0,37.400000000010806,2.8000000000003062,40.40000000001173,182.8999999999477,0.5,,6.300000000001753,9.5,1.9000000000004957,26.5,11.0,29402,4.699999999998641,482,1030,37,17,1334,1100,58,399,706,4707,1382,3695,60,114,45,11,163,5,0,2,1,1,6,16,8,7,0,0,0,0,0,0,1881,73,5343,706
Oakland,36,17.5,63.90000000000485,13.5,75.0,11.5,54.5,18.899999999998073,20.600000000002247,159.69999999998294,14.5,88.70000000000653,12.599999999999978,8.199999999999333,54.5,54.20000000000621,43.700000000004906,435.3999999999502,0.2999999999999695,1655.4000000001904,6.699999999999835,38.10000000000389,3.5,40.5,17.60000000000164,19312,26.600000000003053,446,119,72,20,669,201,40,311,662,987,1379,517,192,19,25,0,388,6,0,7,7,14,3,7,5,1,0,1,0,0,0,0,1847,45,1886,662
Portage Park,15,14.200000000008197,66.10000000004577,6.899999999995951,79.79999999997064,8.70000000000602,41.6999999999722,3.300000000001984,23.300000000012982,168.70000000011206,15.900000000010976,48.19999999996967,4.7000000000012365,4.7000000000012365,44.89999999997658,14.799999999993695,37.899999999989454,287.3000000000478,0.5,87.7000000000435,4.0,12.299999999992336,4.399999999996958,34.60000000000267,18.69999999999528,23617,10.599999999995173,1791,1512,270,100,6005,796,193,2069,2705,8040,5720,3180,882,252,157,124,2531,14,2,77,9,13,32,55,26,146,1,0,3,0,0,0,7655,383,13580,2708
Pullman,50,14.299999999999544,66.5,11.199999999997983,81.30000000001509,12.100000000002515,67.90000000001385,32.200000000006675,34.599999999995205,262.5,28.099999999999486,78.5,32.09999999999665,13.60000000000288,83.80000000001603,92.90000000001639,65.30000000000737,398.5,3.699999999999792,829.099999999825,2.7000000000004962,20.10000000000383,1.399999999999748,42.0,15.600000000003256,19007,21.0,1147,355,159,39,1452,362,134,563,726,1790,2558,780,363,74,35,1,561,10,1,18,11,16,8,32,21,6,0,0,0,0,0,0,3763,76,3306,726
Riverdale,54,12.5,46.099999999991034,15.29999999999914,74.09999999998563,16.5,64.5,33.0,25.0,258.2999999999772,39.400000000006536,115.89999999999797,32.79999999999339,8.699999999998274,86.09999999998439,42.5,80.5999999999849,,,1699.6999999996528,5.800000000001133,61.40000000001253,5.09999999999905,50.200000000006014,24.600000000003543,8535,26.399999999998286,1100,119,105,54,1541,308,170,352,1031,1072,3111,622,473,60,32,0,619,10,1,16,27,18,9,22,5,5,0,0,0,0,0,0,4268,87,2530,1031
Rogers Park,1,16.400000000013492,62.0,11.0,73.0,11.200000000008057,40.80000000003082,7.700000000006428,23.300000000018994,176.9000000001401,25.300000000021175,77.10000000005981,5.200000000003921,6.3999999999981885,36.699999999970935,21.69999999998304,33.6999999999725,364.6999999997059,0.5,322.5,11.400000000009195,22.699999999981735,7.900000000002954,28.80000000002426,18.09999999998559,23714,7.5,2524,1618,278,176,5296,1870,350,1223,5564,8935,8031,3114,1951,311,189,529,2272,22,2,36,26,93,27,104,17,147,5,1,0,0,0,0,10661,896,14425,5564
Roseland,49,14.30000000002161,68.79999999989673,12.199999999982683,69.0,12.800000000018686,79.70000000011461,40.89999999994177,43.5,258.5,32.0,95.5,37.70000000003481,9.59999999998601,70.29999999989495,57.600000000023975,55.60000000003824,369.5,1.899999999997114,1512.0,7.90000000001199,19.5,3.100000000004022,40.89999999994177,17.399999999988903,17974,17.800000000026515,5782,1866,589,364,9683,2216,1126,4026,10814,11495,16607,4790,3513,489,237,491,5545,45,4,128,111,202,80,170,47,63,3,1,0,0,0,0,22755,1096,24706,10814
South Chicago,46,18.099999999983893,82.20000000008513,13.0,75.29999999992415,15.09999999998532,76.799999999922,36.89999999996319,31.899999999972025,227.30000000015983,21.099999999994623,86.89999999998983,33.69999999996885,17.69999999998279,50.8999999999477,56.29999999996141,50.600000000052056,493.3999999995884,1.600000000000746,1774.7000000017808,6.900000000004456,28.0,5.900000000001264,43.1000000000449,28.199999999971862,15393,17.69999999998279,4273,1223,529,244,6941,1336,749,2218,6463,7961,11870,3530,2251,406,170,303,4207,37,2,94,85,110,55,52,44,115,2,0,2,0,0,2,16421,719,16736,6465
South Deering,51,15.799999999994586,76.69999999997397,14.89999999999687,76.89999999998875,15.700000000005373,65.30000000002246,41.300000000008446,25.29999999999225,224.0,32.5,80.600000000015,35.09999999998793,11.799999999996697,59.19999999998003,48.69999999998576,54.900000000016114,427.09999999986337,0.30000000000010185,907.0,2.5999999999991363,24.5,6.0,41.400000000013776,21.900000000005313,15506,11.799999999996697,1462,636,223,64,2742,463,248,877,1372,3132,3291,1383,642,107,42,2,1340,15,1,39,27,47,12,24,20,34,0,0,0,0,0,0,4851,109,6023,1372
South Lawndale,30,19.5,94.89999999997443,7.599999999996134,85.10000000006539,9.59999999999209,77.5,11.099999999990013,13.199999999998152,127.40000000007599,9.200000000007632,65.0,8.599999999993877,5.89999999999827,15.900000000014,32.69999999997149,37.30000000003074,605.8999999995075,0.800000000000028,289.5,7.900000000004604,28.100000000009107,17.5999999999851,33.100000000021794,58.70000000002537,10697,11.5,3188,865,421,195,5780,756,597,3239,4692,7616,9579,4282,1786,1395,251,886,2287,31,4,141,101,29,49,79,61,346,1,1,0,0,0,0,13119,1336,15038,4692
South Shore,43,15.699999999972636,67.9000000000884,13.800000000024722,71.9000000001042,13.39999999999685,65.90000000007977,33.39999999994297,32.399999999944086,246.0,25.100000000045092,95.4000000001703,30.0,11.40000000001264,70.0,54.79999999990175,53.2000000000956,470.2999999996452,1.1000000000015389,1718.5999999969133,11.6999999999792,31.5,2.8999999999972967,37.600000000061065,14.899999999987791,18366,17.699999999970466,6232,2602,801,439,11150,2652,973,4307,10239,14468,20059,6666,4483,545,235,591,7899,49,4,104,127,309,64,149,47,85,1,2,0,0,0,0,26633,1269,31268,10239
Uptown,3,13.099999999989835,50.5,8.299999999993535,77.70000000004474,10.29999999999253,35.10000000001481,5.399999999996168,21.300000000014297,183.29999999987373,20.5,80.0,4.600000000003487,6.5,50.5,25.19999999998071,41.69999999996991,353.69999999975244,0.5,170.7999999998781,13.599999999989354,22.699999999983714,4.600000000003487,22.199999999984396,13.599999999989354,32355,7.700000000006063,2452,2033,186,177,4137,1596,183,1324,5903,9905,6898,2563,1281,417,306,363,1709,16,0,35,22,55,19,71,23,111,1,1,1,1,0,0,9449,846,14261,5904
Washington Heights,73,12.0,61.0,19.599999999987258,75.39999999995071,16.200000000004444,65.0,38.0,47.89999999997587,260.5999999998304,29.699999999981255,79.5,35.600000000000286,11.20000000000703,70.0,56.199999999968135,57.60000000003575,371.40000000023014,1.5,1298.2000000003732,3.0,15.700000000006067,1.0999999999992784,42.39999999998482,15.59999999998996,19709,18.30000000000141,2323,1006,298,153,4501,856,472,2001,3654,5750,6430,2510,1427,249,111,72,2590,19,2,54,57,88,42,51,15,26,2,0,0,0,0,0,8921,338,11825,3654
Washington Park,40,19.299999999999155,72.10000000004237,17.700000000005126,74.89999999995572,16.900000000009747,82.60000000004882,44.60000000001107,26.0,258.0,31.90000000001611,88.20000000002028,39.5,19.299999999999155,79.79999999999718,67.0,43.300000000025435,502.40000000025594,0.3999999999997758,2145.7999999987665,5.0,39.099999999999525,4.899999999997097,40.89999999999635,28.300000000014236,13087,23.199999999992876,2212,433,185,130,3330,1387,403,1547,3749,4023,7373,1716,1476,137,79,977,1860,7,0,26,61,148,25,63,10,34,0,0,0,0,0,0,9707,1186,8941,3749
West Elsdon,62,20.799999999996007,92.30000000001898,4.599999999999085,81.19999999998478,7.5,45.5,5.9000000000009205,12.100000000002533,180.60000000003674,11.5,68.5,7.699999999998382,8.100000000000911,57.80000000000253,44.70000000000808,42.59999999999166,492.59999999995824,0.20000000000001228,122.0,4.5,9.800000000001896,8.699999999998232,38.70000000000753,39.59999999999279,16938,13.5,558,446,78,34,2411,173,72,672,632,2390,1435,676,361,137,54,3,1049,7,0,22,8,4,18,12,2,25,4,0,0,0,0,0,2043,91,4492,632
West Englewood,67,20.3000000000305,93.29999999986967,16.10000000001211,63.59999999995564,13.800000000022935,116.90000000019398,47.20000000007571,39.20000000005315,247.60000000014136,24.399999999960333,88.2000000001271,39.29999999994651,13.300000000022044,66.29999999989244,75.0,64.59999999995057,450.600000000749,2.600000000003861,2762.1999999958166,10.900000000015803,32.299999999975284,6.900000000011468,40.899999999938764,30.299999999985943,10559,34.70000000003589,6096,1362,538,382,10521,1787,1479,3485,12921,11989,20205,4491,3452,478,237,1107,6367,25,3,165,155,385,65,234,27,113,2,1,0,0,0,0,26713,1729,25385,12921
West Garfield Park,26,20.099999999983687,88.39999999996691,17.0,71.39999999993826,17.5,114.90000000006046,40.0,54.700000000022385,291.5,31.399999999978238,118.20000000011042,36.0,19.0,65.29999999995101,75.0,77.0,516.1000000003785,1.4000000000004322,3193.3000000004226,6.5,40.30000000003266,8.900000000007545,42.5,26.19999999997482,10951,25.19999999997567,2680,1767,213,153,4182,675,620,2009,14498,5898,10122,1945,2262,145,110,1526,1815,14,2,71,98,229,39,113,12,67,0,0,0,0,0,1,13022,1791,12035,14498
West Lawn,65,18.799999999992735,83.30000000003078,7.600000000003116,83.5,8.299999999998265,44.59999999998409,10.700000000003957,16.90000000000382,145.10000000005684,15.700000000006403,61.5,8.799999999997702,8.399999999996627,36.69999999998928,19.700000000007467,43.09999999998435,508.30000000008243,0.19999999999991847,93.1000000000366,4.300000000001715,15.299999999993734,6.800000000000451,41.90000000001543,33.400000000013435,15898,7.799999999998901,1000,736,180,65,3841,309,105,1162,983,6443,2707,1300,744,202,96,9,1784,9,3,35,15,8,30,17,13,31,3,0,1,0,0,0,3800,173,10176,984
West Pullman,53,15.300000000008593,71.20000000005571,14.900000000013534,71.29999999994412,14.400000000013195,67.79999999995084,43.8999999999598,20.300000000017945,263.59999999976856,32.60000000002185,83.39999999993474,46.5,11.900000000011078,78.60000000006356,62.89999999994382,63.89999999994323,397.1999999996294,1.0999999999990606,1656.9000000002154,9.200000000007694,24.300000000022656,3.299999999999362,42.1999999999672,22.599999999990303,16228,17.0,3616,973,447,243,6684,1030,811,2609,6238,6034,10347,3136,1928,235,137,491,3911,26,1,104,91,108,55,103,28,50,0,0,0,0,0,1,14241,872,14565,6238
West Ridge,2,17.300000000001916,83.29999999996211,8.10000000000056,71.10000000004968,8.299999999994176,29.900000000010213,5.799999999996683,20.199999999991675,155.90000000005543,17.300000000001916,60.5,3.699999999998593,5.100000000003454,36.0,14.200000000007837,34.699999999975695,331.4000000002233,1.0,141.0,8.900000000001583,15.099999999989507,7.0,38.300000000026394,19.59999999998657,21375,7.899999999998838,1864,1382,230,120,6084,774,199,1686,2438,9108,5545,2854,1149,217,153,96,2926,20,2,56,15,36,34,64,20,102,5,1,1,0,0,0,7534,371,14923,2439
West Town,24,18.800000000028433,60.40000000001131,9.099999999986082,75.5,10.800000000015002,49.200000000075406,8.5,14.5,139.59999999978376,12.40000000001641,107.0,6.59999999998963,5.099999999993427,27.399999999956638,16.60000000001099,33.29999999997752,316.6000000003876,0.5,177.5,3.60000000000039,15.699999999975148,2.0,22.89999999996641,13.400000000008626,39596,6.0,4014,2764,284,209,11844,1833,514,4394,5150,26449,11145,3584,2906,502,317,881,6650,36,2,141,47,51,42,91,55,337,5,0,9,0,0,0,15444,1409,40496,5159
Woodlawn,42,15.099999999986226,60.1000000000549,17.40000000001503,73.2999999999391,16.300000000011334,51.10000000004817,31.100000000019268,32.89999999997669,241.30000000013575,23.900000000002986,82.10000000006515,25.0,11.5,69.79999999994538,58.0,60.0,444.3000000004141,1.6000000000002121,1382.0,17.40000000001503,28.300000000026273,1.8000000000016638,37.60000000003204,17.90000000001526,18928,17.30000000001337,3333,1065,392,241,5443,2834,660,1954,6975,6332,10259,3136,2235,507,177,336,3525,15,1,54,59,213,34,139,35,54,3,1,0,0,0,0,13774,755,14115,6975
